box,id_letter,artist,name,notes
4,ב,מייק בורשטיין ,באנגלית לייב בירושלים במהדורה אחרת,
4,ב,מייק בורשטיין ,בשירי מרדכי גבירטיג,
4,ב,משפחת בורשטיין ,א חתונה אין שטעטל,
4,ב,משפחת בורשטיין ,מיין שטעטעלע בעלז,
4,ב,הבחורים מאפיקים,,
4,ב,הבחורים מאפיקים,,
4,ב,הבחורים מאפיקים לשיר זה כמו לסחוב פסנתר,,
4,ב,הבחורים מאפיקים שירי לאה גולדברג,,
4,ב,בחייהם ובמותם,,
4,ב,הבטלנים עבודה בעיניים,,
4,ב,ג'נה ביאליק ארץ,,
4,ב,ביידיש זה נשמע יותר טוב,,
4,ב,ביגי,,
4,ב,בין הצלצולים מחזמר,,
4,ב,דה גרייט אנד גלורייס,,
4,ב,תיאודור ביקל ,יהדות הדממה,
4,ב,רותי ביקל ,הירח הצהוב,
4,ב,אריק בירן, להיות כוכב,
4,ב,סמי בירנבך ונבג'מין לואו מייד טו מגר,,
4,ב,סמי בירנבך ומיתר,,
4,ב,בלובנד,,
4,ב,בלוז לחופש הגדול,,
4,ב,יוני בלוך ,הרגלים רעים,
4,ב,יוני בלוך ,אולי זה אני,
4,ב,בלונים נירה עדי ישראל גוריון,,
4,ב,בלי סודות,,
4,ב,אבי בללי המהגר,,
4,ב,בלקן ביטבוקס ,נו מייד רמיקסס,
4,ב,בלקן ביטבוקס, נו מד,
4,ב,בלקן ביטבוקס ,שט איט אאוט,
4,ב,בלקן ביטבוקס ,תרגול,
4,ב,בלקפילד,,
4,ב,בלקפילד וולקם טו מי דנא,,
4,ב,במזל דגים,,
5,ב,זהבה בן,טיפת מזל,
5,ב,זהבה בן,שרה זוהר ארגוב,
5,ב,זהבה בן,אינתה עומרי,
5,ב,זהבה בן,סלאמאת,לשדרים בלבד
5,ב,זהבה בן,איזה מן עולם,לשדרים בלבד
5,ב,חנן בן ארי,יש כאן יותר מזה,
5,ב,אביתר בנאי,הראשון,
5,ב,אביתר בנאי,לילה כיום יאיר,
5,ב,אביתר בנאי,החיים מתחילים לנגן,
5,ב,אביתר בנאי,עוגן במים,
5,ב,אהוד בנאי,והפליטים,חדש
5,ב,אהוד בנאי,קרוב,
5,ב,אהוד בנאי,קרוב,חדש
5,ב,אהוד בנאי,השלישי,
5,ב,אהוד בנאי,ויעקב בנאי תחת שיח היסמין,
5,ב,אהוד בנאי,עוד מעט,
5,ב,יובל בנאי,רשיי דאב,
5,ב,יוסי בנאי ,אנונימוס בלפי הגדול,
5,ב,יוסי בנאי ,תעלולי מקס ומוריץ,
5,ב,יוסי בנאי ,מספר ושר תעלולי המצחיקים של הרשלה מאוסטריפול וחכמי חלם,
5,ב,יוסי בנאי ,קורא מהתנך,
5,ב,יוסי בנאי ,קורא את תור המלחמה של חיים חפר,
5,ב,יוסי בנאי ,מרוב אהבה,
5,ב,יוסי בנאי ,שיכור ולא מיין,
5,ב,יוסי בנאי ,מאזן האהבות,
5,ב,יוסי בנאי ,אם נדע לאהוב,
5,ב,יוסי בנאי ,פרצוף של צועני,
5,ב,יוסי בנאי ,ספירת מלאי,
5,ב,יוסי בנאי ,אני וסימון ומויז הקטן,חלק א
5,ב,יוסי בנאי ,אני וסימון ומויז הקטן,חלק ב
5,ב,יוסי בנאי ,הגורילה שר ברנסנס,
5,ב,יוסי בנאי ,אין אהבות שמחות,
5,ב,מאיר בנאי,גשם,
5,ב,מאיר בנאי,כשהיום עולה,
5,ב,מאיר בנאי,הצבעים משתנים,
5,ב,מאיר בנאי,הופעה חיה,
5,ב,מאיר בנאי,ובניהם,
5,ב,דן בן אמוץ,איך לעשות מה,
5,ב,דן בן אמוץ,בסירה אחת,
5,ב,דוד בן גוריון ,זכרונות,
5,ב,דוד בן גוריון ,האיש מאחורי האגדה,
5,ב,דוד בן גוריון ,איי קנט הירינג נאו,
5,ב,מרדכי בן דוד,וכל מאמינים,
5,ב,רונן בן טל,תיקיות,
5,ב,רונן בן טל,תיקיות,מחודש
5,ב,מרדכי בן דוד,נשמה,
5,ב,דורי בן זאב,לכיוון מערב,
5,ב,דורי בן זאב,לימונדה,
5,ב,דורי בן זאב,גנבים,
5,ב,דורי בן זאב,חניה פרטית,
5,ב,יותם בן חורין,דיסטנס לאבר,
5,ב,רונן בן טל ,דורך במקום מזנק לרחוק,
5,ב,דני בן ישראל,שיר ערש לנווד,
5,ב,דני בן ישראל,הוא אכל אותה,
5,ב,דני בן ישראל,בולשיט שלוש ורבע,
5,ב,דני בן ישראל,חנטריש שלוש ורבע,
5,ב,דני בן ישראל,כוכב הצפון,
5,ב,דני בן ישראל,דה קטמנדו סשנס,
5,ב,בן מוש ולהקתו,הנה בא היום עם ישי לוי,
5,ב,בן מוש ולהקתו,חפלה עם בן מוש ולהקתו סולן ישי לוי,
5,ב,יענקלה בן סירה,הבנה/הבה נבשל,
5,ב,מרים בן עזרה,פולקס סונגס אוף ישראל,
5,ב,טובה בן צבי,משירי ישראל,
5,ב,טובה בן צבי,חופשות בישראל,צרפתית
5,ב,טובה בן צבי,שירי חג ומועד,
5,ב,טובה בן צבי,בעין דור,
5,ב,אילן בן שחר,קיץ של אהבה,
5,ב,שירי נחמיה בן תור ,בביצוע אסתי בן שבת,
5,ב,שירי נחמיה בן תור ,אנחנו שרים לך שירי נחמיה בן תור 2,
5,ב,בנות חוה,,
5,ב,בנזין ,,
5,ב,בנזין ,משמרת לילה,
5,ב,בנזין ,האוסף,
5,ב,בנזין ,פנס כחול,
5,ב,בנזין ,24 שעות,
5,ב,בנזין ,קחי אותי הביתה,
5,ב,בנזין ,מים שקטים,
5,ב,בנזין ,פגע וברח,
5,ב,בנזין ,פנים מול פנים,
5,ב,בנזין ,על פני השטח,
5,ב,בנזין ,היי היי,
5,ב,בנזין ,זה הכל,
5,ב,בנזין ,גשם,
5,ב,עמיר בניון,ניצחת איתי הכל,
5,ב,בני בום,,
5,,דה רביס סאנס הללו,,
5,,דה רביס סאנס טו לייף,,
5,ב,בני עקיבא, 50 שנה לבני עקיבא,
5,ב,דני בסן,,
5,ב,דני בסן,הילד שבי,
5,ב,בציר טוב,,
5,ב,בצל ירוק טעם של פעם,,
5,ב,בצלאל,ישראל פולקלור,
5,ב,בצלאל,אנד דה סברס,
5,ב,בצלאל,אנד דה סברס ירושלים של זהב,
5,ב,משה בקר ,חפצים אישיים,
5,ב,ג'ורג' בר,להיט הלו הלו,
5,ב,הראלה בר ,קשה בלילה,
5,ב,הראלה בר ,קטיפה,
5,ב,ג'ורג' בר,להיט מאמי,
5,ב,שמעון בר ,משירי עמוס אטינגר,
5,ב,בראבא,בואו לטייל,
6,ב,ג'קי בראון ,אל תנגנו את השיר הזה,
6,ב,מודי בראון ,הופעות חיות מאולפן ליגת האלופות לזכרו,
6,ב,רינה בראל, ואת לא כאן,
6,ב,רמי בר דוד ,אי אפשר לדעת,
6,ב,שמשון ברנוי ,ישראל סונגס פיצרינג,
6,ב,רון בר ,נוף עמק הים,
6,ב,רוני בר נוף ,לכו אחרי המנגן בחליל,
6,ב,רמי בר ניב ,רפסודיה בכחול מנגן ג'ז,
6,ב,בראש המצעד,,
6,ב,בראבא ,סיפור ופזמונים ע''פ תוכנית הטלויזיה,
6,ב,בראבא ,פס הקול המקורי של תוכנית הטלויזיה,
6,ב,,,
6,ב,תימנע בראוור ,,
6,ב,הנרי ברטר ,מדאם לה רווא,
6,ב,בראשית ,,
6,ב,דיודי ברוזה ,האישה שאיתי,
6,ב,דיויד ברוזה ,קלף,
6,ב,דיויד ברוזה ,ברוזה,
6,ב,דיויד ברוזה ,נשיקה גנובה,
6,ב, דיויד ברוזה ,רחוב מהבית,
6,ב, דיויד ברוזה ,לה קאסה לימון,
6,ב,ברוק אחד,,
6,ב,עמוס ברזל ,רוק כן רול,
6,ב,רמי ברזל ,משהו בפנים,
6,ב,שלווה ברטי ,נולדה מחדש,
6,ב,שלווה ברטי ,שלווה,
6,ב,שלווה ברטי ,שרה יוסף הדר,
6,ב,ישראל ברייט ,קוף עירוני,
6,ב,הברירה הטבעית ,אלי שורשים,
6,ב,הברירה הטבעית ,מתוך כלים שבורים,
6,ב,הברירה הטבעית ,חוט שזור,
6,ב,הברירה הטבעית ,מחכים לסמסונג,
6,ב,הברירה הטבעית ,מתוך תוכניתם ותקליטם החדשים של הברירה הטבעית,
6,ב,ההנאות הקטנות שבחיים ערב ברטולד ברכט,,
6,ב,שירי ברכט,,
6,ב,גבי ברלין ,אין כמו השיר הזה,
6,ב,גבי ברלין ,ממשיך ושר,
6,ב,אריק ברמן ,אהבה ואלוהים אחרים,
6,ב,אריק ברמן,46054,
6,ב,בני ברמן ,במבחר שיריו,
6,ב,בני ברמן ,חיי אדם,
6,ב,בני ברמן ,גלגול שני,
6,ב,אביתר ברנוביץ ,מרוב שאהבתי אותך משירי דיויד אבידן,
6,ב,מייק ברנט ,כל הלהיטים הגדולים,
6,ב,ניני ברנט ,אני שבשירים,
6,ב,ברנשים וחלומות,,
6,ב,דודו ברק ,דרך ארץ השקד שירי ארץ ישראל,
6,ב,קרן ברק ,בבירות 12 אינץ ו7 אינץ,
6,ב,יהודה ברקן  ,מספר סיפורים,
6,ב,דודו ברק ,אכלתה אותה,
6,ב,מוטי ברקן ,מספר ושר,
6,ב,מוטי ברקן ,מספר ושר כוכב המשחקים,
6,ב,מוטי ברקן ,הלב מסעו של מרקו מהאפנינים אל האנדים,
6,ב,מוטי ברקן ,גוליבר,
6,ב,מוטי ברקן ,שרגה אור,
6,ב,יגאל בשן ,לצפון באהבה,
6,ב,יגאל בשן ,איתך הלילה,
6,ב,יגאל בשן, יש לי ציפור קטנה בלב,
6,ב,יגאל בשן ,מכת שמש,
6,ב,יגאל בשן ,לא לבד,
6,ב,יגאל בשן ,צבעים,
6,ב,יגאל בשן ,נטו,
6,ב,יגאל בשן ,קפה אצל ברטה,
6,ב,יגאל בשן ולהקת בראש,,
6,ב,יגאל בשן, נולדתי במזל בתולה,
6,ב,יגאל בשן ,מסע אל תוך הזמן,
6,ב,יגאל בשן ,איתה,
6,ב,יגאל בשן ,יו גוט דה פאוור תוצרת גרמניה כולל אינסרט ופוסטר ענק,
6,ב,יגאל בשן ,ניל בשן היי און איזי פילינג,
6,ב,בן בשן ,איי אמם רדי,
6,ב,בן בשן, יו אר דה אונלי וואן,
6,ב,בשערייך ירושילם שירים לירושלים,,
6,ב,בתי כנסת בירושלים מבוא לסיור של יחזקל פריימן,,
6,ב,בת המלך אגדת שלושה וארבעה מאת ביאליק,,
6,ב,בתים משוקולד שירי יוסי בכר לילדים,,
6,ב,בתרי זוזי ,,
6,ג,יהורם גאון ,הקלטות מקוריות קופסאת דיסקים,
6,ג,יהורם גאון ,איסרפון,
6,ג,יהורם גאון ,תקליט ראשון איפה הן הבחורות,
6,ג,יהורים גאון ,שר כל העיר מרכלת עלינו,
6,ג,יהורם גאון ,מבחר להיטים,
6,ג,יהורם גאון ,בשירי משה וילנסקי,
6,ג,יהורם גאון ,אלף נשיקות,
6,ג,יהורם גאון ,סימני דרך,
6,ג,יהורם גאון ,ירח מלא,
6,ג,יהורם גאון, אני ירושלמי,
6,ג,יהורם גאון, בתוכנית יחיד,
6,ג,יהורים גאון ,איתך בלעדיך,
6,ג,יהורם גאון, שירי שבת,
6,ג,יהורם גאון ,פיוטים לשבת נוסח יהודי ספרד,
6,ג,יהורם גאון ,שירים לפסח במסורת יהודי ספרד,
6,ג,יהורם גאון ,79,
6,ג,יהורם גאון ,מעשיות אלף לילה ולילה,
6,ג,יהורם גאון ,קורא עזית בין שלגי החרמון,
6,ג,יהורם גאון ,קורא עזית שטה בצוללת,
6,ג,יהורם גאון ,שיר ערש לילדי הקטן,
7,ג,גאולה גיל,פולק מיוזיק ישראלי,
7,ג,גאולה גיל, סינגס ישראלי פולקסונג,
7,ג,גאולה גיל,הולידיי סונגס אוף ישראל,
7,ג,גאולה גיל,‏the exciting world of גאולה גיל,
7,ג,גאולה גיל,עם דוב זלצר ומיכאל קגן,
7,ג,גאולה גיל,now,
7,ג,גאולה גיל ,ספונפול אוף שוגר song from for the young לא יודעת משהו כזה,
7,ג,גאולה גיל ,שירי הזהב,
7,ג,גאולה גיל ,שירי ילדים מדוע זברה לובשת פיג׳מה ,
7,ג,גאולה גיל ,שלישיית גאולה גיל,
7,ג,גאולה גיל ,ראשי עליי סובב,
7,ג,גאולה גיל ,עם להקת אורנים צבר,
7,ג,ג'יין בורדו,אוקיינוסים,
7,ג,ג'יין בורדו,מה שחשוב,
7,ג,ג'יין בורדו,בלי שם,
7,ג,ג'יין בורדו,כישוף,
